,Keyword
0,extended family members
1,family life
2,brothers
3,family businesses
4,schools
5,cultural activities
6,loved ones' deaths
7,loved ones' final contacts
8,tracing loved ones
9,corpses
10,beatings
11,brutal treatment
12,food rationing
13,grandmothers
14,loved ones' fates
15,ghettoization
16,persecuted group insignia
17,camp-related aid giving
18,prisoners
19,camp punishments
20,camp childbearing
21,camp medical care
22,camp liberation
23,childhood perceptions
24,Holocaust-related psychological reactions
25,migration decisions
26,working life
27,Holocaust testimony sharing reluctance
28,future message
29,interviewee photographs (stills)
30,education
31,grandparents
32,military service
33,betrayals
34,flight attempts
35,arrests
36,prisons
37,trains
38,transfer from prisons
39,transfer to prisons
40,"transfers, means of transport"
41,trucks
42,camp brutal treatment
43,camp humiliation
44,camp living conditions
45,camp forced labor
46,camp killings
47,construction forced labor
48,forced labor conditions
49,preferential treatment
50,shootings
51,sustenance provision
52,camp intake procedures
53,forced labor civilian supervisors
54,camp doctors
55,camp hospitals
56,medical care provision
57,camp selections
58,escape decisions
59,Lagerälteste
60,camp medical experiments
61,female prisoners
62,handicapped prisoners
63,warnings
64,camp escapes
65,camp mass executions
66,camp prisoner insignia
67,forced marches
68,freight trains
69,transfer-related aid giving
70,camp resistance
71,resistance group leaders
72,resistance groups
73,sabotage
74,inter-prisoner behavioral conduct
75,prisoner doctors
76,prisoner medical personnel
77,friendships
78,bombardments
79,camp betrayals
80,war crimes investigations
81,courtships
82,black market activities
83,military and police uniforms photographs (stills)
84,photographs (stills)
85,concentration camps (stills)
86,early personal aspirations
87,national identity
88,compulsory military enlistment
89,forced labor battalion living conditions
90,forced labor battalion escapes
91,hiding
92,escapee capture
93,false documents
94,passing
95,deportation awareness
96,religious identity
97,Holocaust faith issues
98,illegal border crossings
99,suicides
100,granddaughters
101,bribery
102,ghetto living conditions
103,ghetto hiding and evasion
104,hiding places
105,hiding discovery fears
106,hiding adaptation methods
107,deportation conditions
108,"deportations, means of transport"
109,loved ones' separations
110,camp family interactions
111,camp food acquisition
112,loved ones' renewed contacts
113,liberator responses
114,post-liberation camp/ghetto transition
115,post-conflict family home returns
116,migration assistance
117,alcohol
118,post-conflict medical problems
119,medical care
120,aid giving
121,trauma-related dreams
122,Holocaust testimony sharing willingness
123,persecuted group insignia (stills)
124,birth certificates (stills)
125,loved ones' introductions
126,antisemitism
127,ghettoization preparations
128,ghetto adaptation methods
129,factory forced labor
130,ghetto forced labor
131,ghetto currency
132,ghetto food acquisition
133,ghetto food
134,hunger
135,ghetto family interactions
136,ghetto sanitary conditions
137,deportation procedures
138,camp housing conditions
139,transfer food
140,camp procedures
141,camp adaptation methods
142,camp food
143,politico-military event awareness
144,post-conflict adaptation
145,church attendance
146,Braunschweig (Germany)(generic)
147,synagogues
148,tutors
149,property seizure
150,adaptation methods
151,flight decisions
152,flight
153,flight assistance
154,looting
155,rescue
156,civilian aid givers
157,children's homes
158,loved ones' contacts
159,attitudes toward communism and/or communists
160,Komsomol
161,punishments
162,refugee-related psychological reactions
163,teachers
164,selections
165,rumors
166,identification papers
167,post-conflict aid giver-aid recipient relations
168,false names
169,identity concealment
170,identity concealment-related psychological reactions
171,military uniforms
172,adoptions
173,social relations
174,executions
175,humiliation
176,resistance fighters
177,sanitary conditions
178,sexual assaults
179,identity concealment (aid giving)
180,identity exposure
181,Nazism
182,war crimes trial-related psychological reactions
183,family pets
184,killings
185,Holocaust education
186,restitution
187,writing
188,antisemitic propaganda
189,racial antisemitism
190,war-related experience psychological reactions
191,front-line military service
192,liberation-related psychological reactions
193,Allied-appointed administrative personnel
194,ORT
195,professional training
196,survivor guilt
197,class photographs (stills)
198,graves (stills)
199,weddings (stills)
200,post-liberation family photographs (stills)
201,prisoner uniforms photographs (stills)
202,migration policies
203,child placement
204,enforced residence
205,passenger trains
206,camp deaths
207,international flight routes
208,acculturation
209,synagogues (stills)
210,family homes (stills)
211,identification papers (stills)
212,correspondence (stills)
213,documents and artifacts (stills)
214,interviewee original works
215,literary recitals
216,Holocaust documented evidence
217,publications (stills)
218,friends
219,games
220,pogroms
221,ghetto-related aid giving
222,ghetto killings
223,escape preparations
224,Latvian soldiers
225,ghetto housing conditions
226,escape routes
227,incarceration releases
228,interrogations
229,ghetto childcare
230,ghetto hospitals
231,ghetto barter
232,ghetto procedures
233,resistance group weapons
234,resistance group inter-group conflicts
235,mass murder awareness
236,military retreat
237,resistance group living conditions
238,resistance group sanitary conditions
239,inter-survivor relations
240,memorials and museums
241,post-conflict persecution site visits
242,survival explanations
243,socioeconomic status
244,philanthropic activities
245,Shabbat
246,ghetto selections
247,ghetto brutal treatment
248,sisters
249,roundup evasion
250,loved ones' togetherness decisions
251,Stutthof (Danzig (FC) : Concentration Camp)
252,camp sanitary conditions
253,forced march brutal treatment
254,forced march escapes
255,covert activities
256,smuggling
257,testimony-sharing motivations
258,post-liberation photographs (stills)
259,ethnic identity
260,marital dissolutions
261,ghetto service work
262,ghetto menstruation
263,ghetto functionaries
264,personal services forced labor
265,ghetto cultural activities
266,ghetto liberation
267,living conditions
268,camp barracks
269,female camp guards
270,metaphysical experiences
271,perpetrator liberator-approach responses
272,forced march conditions
273,forced march liberation
274,liberation-related aid giving
275,post-conflict return journeys
276,migration discussions
277,transfer conditions
278,transfer escapes
279,family histories
280,citizenship
281,body searches
282,armament forced labor
283,camp executions
284,illegal emigration
285,Maccabi ha-Za'ir
286,domestic flight routes
287,fine arts (stills)
288,female camp personnel
289,camp hiding and evasion
290,criminal kapos
291,prisoner tattoos (stills)
292,camp covert activities
293,camp diseases
294,domestic migration routes
295,wartime family interactions
296,personal property sales
297,ghetto education
298,domestic staff
299,ghetto children
300,ghetto hunger
301,ghetto corpse disposal
302,ghetto stealing
303,ghetto smuggling
304,ghetto epidemics
305,ghetto quarantines
306,typhus
307,hiding-related decisions
308,hiding-related family interactions
309,identity concealment preparations
310,false document provision
311,hiding preparations
312,shelter provision
313,aid giver-aid recipient relations
314,attitudes toward aid givers
315,roundups
316,ghetto external contact
317,civilian expulsions
318,evasion
319,diseases
320,hospitals
321,funerals
322,begging
323,infestations
324,lice
325,creative works
326,food
327,childbearing
328,memorials and museums (stills)
329,family homes
330,childhood antisemitism experiences
331,synagogue attendance
332,forced labor
333,kolkhoz
334,malaria
335,physical condition
336,Hashomer Hatzair
337,survivor marriages
338,kibbutzim
339,grandchildren
340,factories
341,protection papers
342,Schindler firms
343,prisoner tattoos
344,hangings
345,transfer physical condition
346,camp visitors
347,camp injuries
348,international migration routes
